prs,sp_name,linkage_name,temp_file
both,"seq_count_<parlay::slice<char *const *, char *const *>, unsigned long *, parlay::slice<parlay::delayed_sequence<unsigned long, unsigned long, (lambda at ./parlay/internal/collect_reduce.h:305:35)>::iterator, parlay::delayed_sequence<unsigned long, unsigned long, (lambda at ./parlay/internal/collect_reduce.h:305:35)>::iterator> >",_ZN6parlay8internal10seq_count_INS_5sliceIPKPcS5_EEPmNS2_INS_16delayed_sequenceImmZNS0_22collect_reduce_sparse_INS_22uninitialized_copy_tagES6_NS_19count_by_key_helperIS3_mRZ10wordCountsRKNS_8sequenceIcNS_9allocatorIcEELb1EEEbE3$_3RZ10wordCountsSH_bE3$_4EEEEDaT0_RKT1_EUlmE_E8iteratorEST_EEEEvT_SO_SN_m,./parlay/internal/counting_sort.h
both,"initialize_default",_ZN6parlay8sequenceImNS_9allocatorImEELb0EE18initialize_defaultEm,./parlay/sequence.h
both,"parallel_for<(lambda at ./parlay/sequence.h:532:24)>",_ZN6parlay12parallel_forIZNS_8sequenceImNS_9allocatorImEELb0EE18initialize_defaultEmEUlmE_EEvmmT_lb,./parlay/internal/scheduler_plugins/opencilk.h
both,"parallel_for<(lambda at ./parlay/internal/delayed/../sequence_ops.h:168:15)>",_ZN6parlay12parallel_forIZNS_8internal10sliced_forIZNS1_5scan_INS_5sliceIPmS5_EES6_NS_4plusImEEEEDaRKT_T0_OT1_jbEUlmmmE_EEvmmSB_jEUlmE_EEvmmS9_lb,./parlay/internal/scheduler_plugins/opencilk.h
both,"parallel_for<(lambda at ./parlay/internal/delayed/../sequence_ops.h:168:15)>",_ZN6parlay12parallel_forIZNS_8internal10sliced_forIZNS1_5scan_INS_5sliceIPmS5_EES6_NS_4plusImEEEEDaRKT_T0_OT1_jbEUlmmmE0_EEvmmSB_jEUlmE_EEvmmS9_lb,./parlay/internal/scheduler_plugins/opencilk.h
defdac,"initialize_default",_ZN6parlay8sequenceIjNS_9allocatorIjEELb0EE18initialize_defaultEm,./parlay/sequence.h
defdac,"parallel_for<(lambda at ./parlay/sequence.h:532:24)>",_ZN6parlay12parallel_forIZNS_8sequenceIjNS_9allocatorIjEELb0EE18initialize_defaultEmEUlmE_EEvmmT_lb,./parlay/internal/scheduler_plugins/opencilk.h
defef,"parallel_for<(lambda at ./parlay/sequence.h:541:24)>",_ZN6parlay12parallel_forIZNS_8sequenceISt4pairIPciENS_9allocatorIS4_EELb0EE15initialize_fillEmRKS4_EUlmE_EEvmmT_lb,./parlay/internal/scheduler_plugins/opencilk.h
both,"push",_ZN6parlay8internal12hazptr_stackIPNS0_15block_allocator5blockEE4pushES4_,./parlay/internal/concurrency/hazptr_stack.h
both,"acquire_retire",_ZN6parlay8internal14acquire_retireINS0_12hazptr_stackIPNS0_15block_allocator5blockEE4NodeESt14default_deleteIS7_ELm1EEC2ES9_,./parlay/internal/concurrency/acquire_retire.h
both,"~acquire_retire",_ZN6parlay8internal14acquire_retireINS0_12hazptr_stackIPNS0_15block_allocator5blockEE4NodeESt14default_deleteIS7_ELm1EED2Ev,./parlay/internal/concurrency/acquire_retire.h
both,"~unique_ptr",_ZNSt10unique_ptrIA_N6parlay6paddedImLm128EvEESt14default_deleteIS3_EED2Ev,ece/project/seth_group/ziqiliu/GCC-12.2.0/lib/gcc/x86_64-linux-gnu/12.2.0/../../../../include/c++/12.2.0/bits/unique_ptr.h
both,"~unique_ptr",_ZNSt10unique_ptrIA_N6parlay6paddedISt6vectorIPNS0_8internal12hazptr_stackIPNS3_15block_allocator5blockEE4NodeESaISA_EELm128EvEESt14default_deleteISE_EED2Ev,ece/project/seth_group/ziqiliu/GCC-12.2.0/lib/gcc/x86_64-linux-gnu/12.2.0/../../../../include/c++/12.2.0/bits/unique_ptr.h
both,"~unique_ptr",_ZNSt10unique_ptrIA_N6parlay6paddedIbLm128EvEESt14default_deleteIS3_EED2Ev,ece/project/seth_group/ziqiliu/GCC-12.2.0/lib/gcc/x86_64-linux-gnu/12.2.0/../../../../include/c++/12.2.0/bits/unique_ptr.h
both,"~unique_ptr",_ZNSt10unique_ptrIA_N6parlay6paddedISt6atomicIPNS0_8internal12hazptr_stackIPNS3_15block_allocator5blockEE4NodeEELm128EvEESt14default_deleteISD_EED2Ev,ece/project/seth_group/ziqiliu/GCC-12.2.0/lib/gcc/x86_64-linux-gnu/12.2.0/../../../../include/c++/12.2.0/bits/unique_ptr.h
both,"acquire_retire",_ZN6parlay8internal14acquire_retireINS0_12hazptr_stackIPvE4NodeESt14default_deleteIS5_ELm1EEC2ES7_,./parlay/internal/concurrency/acquire_retire.h
both,"~acquire_retire",_ZN6parlay8internal14acquire_retireINS0_12hazptr_stackIPvE4NodeESt14default_deleteIS5_ELm1EED2Ev,./parlay/internal/concurrency/acquire_retire.h
both,"~unique_ptr",_ZNSt10unique_ptrIA_N6parlay6paddedISt6vectorIPNS0_8internal12hazptr_stackIPvE4NodeESaIS8_EELm128EvEESt14default_deleteISC_EED2Ev,ece/project/seth_group/ziqiliu/GCC-12.2.0/lib/gcc/x86_64-linux-gnu/12.2.0/../../../../include/c++/12.2.0/bits/unique_ptr.h
both,"~unique_ptr",_ZNSt10unique_ptrIA_N6parlay6paddedISt6atomicIPNS0_8internal12hazptr_stackIPvE4NodeEELm128EvEESt14default_deleteISB_EED2Ev,ece/project/seth_group/ziqiliu/GCC-12.2.0/lib/gcc/x86_64-linux-gnu/12.2.0/../../../../include/c++/12.2.0/bits/unique_ptr.h
both,"parallel_for<(lambda at ./parlay/sequence.h:541:24)>",_ZN6parlay12parallel_forIZNS_8sequenceIbNS_9allocatorIbEELb0EE15initialize_fillEmRKbEUlmE_EEvmmT_lb,./parlay/internal/scheduler_plugins/opencilk.h
